m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
0,1,6,9,0.4948288350453737,3.471349247721287,0.3564472934262819,-0.05081032945927752
0,1,7,9,-0.055041767019782376,0.14694040859623214,0.016092663980871825,0.006028080839476233
0,1,8,9,-0.004466605407981561,0.0038577675812815266,0.00044664633638068403,0.0005171366339646328
0,1,9,9,-0.00018774879009584444,0.000040486380506526046,4.918106154199535e-6,0.00002280689131863099
0,1,-10,10,4.055504191352346e13,1.3709692776762612e14,-1.5030806995390998e13,4.446306840113458e12
0,1,-9,10,5.1793609815918414e13,-2.4018416702025722e14,2.52427962568274e13,5.443387697906399e12
0,1,-8,10,-1.27728397458084e14,1.4788665693736575e14,-1.481262252493279e13,-1.2793531049005377e13
0,1,-7,10,8.805939890368356e13,-3.2985786310312133e13,3.1278176823779478e12,8.350073646858162e12
0,1,-6,10,-2.9588829852077523e13,-4.2177854090289897e12,3.760075003883538e11,-2.637787576454295e12
0,1,-5,10,5.088145920928473e12,3.800958454538406e12,-3.17215817898045e11,4.2464036089751825e11
0,1,-4,10,-3.4932366739215436e11,-7.632861384329165e11,6.0474265054670135e10,-2.767650424664198e10
0,1,-3,10,-3.3085542015462327e9,4.6655312213736176e10,-4.1977363491966953e9,-2.976818196276786e8
0,1,-2,10,-2.1385133734530156e9,3.3305372470946717e9,-1.9746134271264575e7,-1.2678847008832168e7
0,1,-1,10,6.116562547904072e8,-3.3414933492038935e8,6.608386517175893e6,1.209657038002611e7
0,1,0,10,1.5343207054141132e7,-0.000010132227896204202,0.,0.
0,1,1,10,-5.560511407184462e6,-3.0377212265509246e6,-60076.24106527765,109968.82163657794
0,1,2,10,-180009.54322003745,-280348.25312239147,-1662.1325144166203,1067.2430142108237
0,1,3,10,2677.863734712042,37761.6810846758,3397.546255177423,-240.9364636963111
0,1,4,10,-2885.042102345574,6303.932000809995,499.4531349492068,228.57850025854782
0,1,5,10,-466.91861938485295,348.79861967629404,29.109615573458893,38.96753240307972
0,1,6,10,-33.940593976769975,4.838114341273526,0.43130863797814484,3.0257390230360928
0,1,7,10,-1.485451415166345,-0.5564287692746638,-0.05276235428040414,0.14085525077265218
0,1,8,10,-0.039900325513270184,-0.04619744605194303,-0.004627228339290885,0.003996496186267203
0,1,9,10,-0.0004257763744025853,-0.001974466429087844,-0.00020751182063224912,0.0000447481047703709
0,1,10,10,0.000016669410349132077,-0.0000563511918305228,-6.178139088575235e-6,-1.8275733363595497e-6
0,1,-11,11,1.3952626215565706e16,-1.4014513575764082e16,1.400364268932203e15,1.3941803334390618e15
0,1,-10,11,-3.277082247684028e16,9.694032541280148e15,-9.327659640110394e14,-3.1532293386554005e15
0,1,-9,11,2.693373448729552e16,5.808023702090119e15,-5.3566554404261244e14,2.4840589979073865e15
0,1,-8,11,-1.029722233767836e16,-8.893619848464107e15,7.821315781284208e14,-9.055685867547439e14
0,1,-7,11,1.5876147766131455e15,4.238322579426624e15,-3.534863427975564e14,1.3241090800414244e14
